ticket,sector,subsector,segment
HBRE.SA,Financeiro,Exploração de Imóveis,Exploração de Imóveis
IGBR.SA,Financeiro,Exploração de Imóveis,Exploração de Imóveis
IGTI.SA,Financeiro,Exploração de Imóveis,Exploração de Imóveis
LOGG.SA,Financeiro,Exploração de Imóveis,Exploração de Imóveis
MNZC.SA,Financeiro,Exploração de Imóveis,Exploração de Imóveis
MULT.SA,Financeiro,Exploração de Imóveis,Exploração de Imóveis
SCAR.SA,Financeiro,Exploração de Imóveis,Exploração de Imóveis
SYNE.SA,Financeiro,Exploração de Imóveis,Exploração de Imóveis
BBRK.SA,Financeiro,Exploração de Imóveis,Intermediação Imobiliária
LPSB.SA,Financeiro,Exploração de Imóveis,Intermediação Imobiliária
MOAR.SA,Financeiro,Holdings Diversificadas,Holdings Diversificadas
PEAB.SA,Financeiro,Holdings Diversificadas,Holdings Diversificadas
SIMH.SA,Financeiro,Holdings Diversificadas,Holdings Diversificadas
CTBA.SA,Financeiro,Outros Títulos,Outros Títulos
MCRJ.SA,Financeiro,Outros Títulos,Outros Títulos
PMSP.SA,Financeiro,Outros Títulos,Outros Títulos
QVQP.SA,Outros,Outros,Outros
ATOM.SA,Outros,Outros,Outros
BLUT.SA,Outros,Outros,Outros
BETP.SA,Outros,Outros,Outros
CABI.SA,Outros,Outros,Outros
CACO.SA,Outros,Outros,Outros
MAPT.SA,Outros,Outros,Outros
CMSA.SA,Outros,Outros,Outros
OPGM.SA,Outros,Outros,Outros
FIGE.SA,Outros,Outros,Outros
MGIP.SA,Outros,Outros,Outros
PPAR.SA,Outros,Outros,Outros
PRPT.SA,Outros,Outros,Outros
OPSE.SA,Outros,Outros,Outros
OPTS.SA,Outros,Outros,Outros
YBRA.SA,Outros,Outros,Outros
GNDI.SA,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos"
LAME.SA,Consumo Cíclico,Comércio,Produtos Diversos
LEVE.SA,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas
MYPK.SA,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas
PLAS.SA,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas
